"method","score","hours","attendance","GPA"
"Lecture",78.9676675771733,4.20599860020025,92.5635350490246,2.55191247980511
"Lecture",63.4824146288313,3.63894270145133,86.2896071876602,2.55886927756896
"Lecture",70.9050272906987,4.75816323569952,85.4422011457979,3.0374107158591
"Lecture",73.0629008396883,3.27329517292342,84.3955173123045,2.70100825953479
"Lecture",71.234146585128,2.63171895558071,79.0283555241974,2.99945321570859
"Lecture",67.1510038712681,4.43281802588872,88.0599844902019,2.87152233557226
"Lecture",80.0921759795115,3.18860682381333,83.9143007712674,2.81589851806515
"Lecture",67.2427276926952,5.44410126172125,84.0862164683404,2.39259664637427
"Lecture",84.1473897110163,3.56855379738665,89.6667316428558,2.632575614892
"Lecture",67.4982872075806,4.65564788340221,89.1088655525412,3.05385493233538
"Lecture",78.4389572337879,4.32192526520395,91.9605818796714,3.17028617832706
"Lecture",86.2931631416089,3.21616105911962,82.6191303847266,2.85213679393396
"Lecture",56.8891143911013,5.57572751979198,88.2517428036315,3.00001886521961
"Lecture",65.769689865461,4.64289930571732,91.95555228195,3.33686689301399
"Lecture",66.9334293088507,4.08976064659961,79.4460556027605,3.43195672289286
"Lecture",73.0876031845606,4.27655074729146,80.6960370656108,2.67086586947825
"Lecture",65.7259766286714,4.67928881605527,79.3413065957312,2.96480413192495
"Lecture",46.7483566327618,4.08983288657908,77.703930002488,3.36044952027591
"Lecture",48.4762645713958,1.00690991684707,85.3999127662058,2.85908112583011
"Lecture",78.5609067658415,4.28488295353066,88.266021698246,2.9842591545183
"Lecture",65.5468912473722,3.63276535725902,91.0048268779925,2.97416781052887
"Lecture",53.74953252816,4.18523056486561,90.2237554358386,2.73369629462807
"Lecture",66.624661153923,4.58182372736551,79.9839567658008,2.86659479853458
"Lecture",77.7173975933808,5.39973682729268,94.2424095083637,2.99116653627353
"Lecture",83.1615476901197,3.27270794052553,81.6661329562109,2.87583934528262
"Lecture",64.5562469471504,5.30254263204414,85.5275690622803,3.33401580701046
"Lecture",65.9418449378486,4.33584811975207,82.8887205906557,2.85570214750381
"Lecture",53.8946953184418,5.03850609869762,84.3882491402251,2.87004929021978
"Lecture",71.6807788386502,4.92072856829065,85.9409651725075,3.20905877296563
"Lecture",62.880040992319,4.72087816286686,85.595804789985,2.68308947604873
"Lecture",71.6436009859298,2.95688106143214,84.874537245663,2.98779045745464
"Lecture",73.6386986978305,3.90981361338929,85.5403636397102,2.53453655329572
"Lecture",76.2808281757594,4.62351816199954,82.5728238207667,3.3501508647707
"Lecture",63.1285889967423,3.04647664222766,82.4789143465605,2.91790628958778
"Lecture",72.0396409863838,3.45717118542614,76.6945046004259,2.85964640259832
"Lecture",54.2639305674133,4.58099649768168,83.0883313656309,2.62852430160414
